IA1	IA2	IB1	averageP	sdp	overlap	direction
severe daytime drowsiness	NA	refdist	0.542671644685803	0.00684076632385535	0.914656710628394	1
mild sneezing	NA	refdist	0.368637934381673	0.00665708559256948	0.737275868763347	-1
mild slurred speech	severe diarrhea	refdist	0.545719277810134	0.00933303324944013	0.908561444379732	1
severe generalized pain	severe localized numbness	refdist	0.598539269051322	0.00915351643629173	0.802921461897356	1
mild slurred speech	mild change in weight	refdist	0.501192941176471	0.0093064278110794	0.997614117647059	1
mild difficulty seeing	mild coughing	refdist	0.522360620756547	0.00921594078072295	0.955278758486906	1
mild coughing	severe dry mouth	refdist	0.443363971301144	0.00898038620395585	0.886727942602288	-1
mild abnormal sweating	NA	refdist	0.446306901899961	0.00706972268059675	0.892613803799923	-1
mild localized pain	severe dry mouth	refdist	0.49362264517382	0.00920159369040866	0.98724529034764	-1
severe memory problems	severe change in appetite	refdist	0.625201764705882	0.00902886461160658	0.749596470588235	1
severe constipation	severe dizziness	refdist	0.561893468118196	0.00897667784958996	0.876213063763608	1
mild localized pain	severe constipation	refdist	0.550762191567904	0.00942465632020602	0.898475616864193	1
mild eye irritation	severe rash	refdist	0.48267071974897	0.0128748079703022	0.965341439497941	-1
mild localized pain	mild difficulty sleeping	refdist	0.5299865915274	0.00959863892536501	0.9400268169452	1
mild abnormal sweating	mild sneezing	refdist	0.43117947225456	0.00878673784414023	0.862358944509119	-1
mild abnormal bruising	NA	refdist	0.434036504854369	0.00692143446499665	0.868073009708738	-1
mild generalized pain	severe coughing	refdist	0.544638537818394	0.00892513590890642	0.910722924363212	1
severe difficulty sleeping	NA	refdist	0.622184660194175	0.00665520129228009	0.75563067961165	1
severely abnormal mole	severe fever	refdist	0.541198314716833	0.0130453255976184	0.917603370566334	1
severe coughing	NA	refdist	0.551090360272639	0.00709328442803066	0.897819279454722	1
severe difficulty breathing	severe headache	refdist	0.642104860838887	0.00983499167789642	0.715790278322227	1
mild memory problems	severe difficulty sleeping	refdist	0.613526315789474	0.00891146241527562	0.772947368421053	1
mild abnormal sweating	mild dizziness	refdist	0.485160395655547	0.00936223207020494	0.970320791311094	-1
mild sneezing	severe change in weight	refdist	0.431908093278464	0.0114393112400204	0.863816186556927	-1
mild localized bleeding	severe dizziness	refdist	0.558047822706065	0.00913385084581582	0.883904354587869	1
mild constipation	severe generalized pain	refdist	0.58299339421022	0.00894697251451234	0.834013211579561	1
mild difficulty seeing	mild slurred speech	refdist	0.539291237614144	0.0100895934094255	0.921417524771712	1
mild headache	mild difficulty sleeping	refdist	0.518347647058824	0.00901027286174992	0.963304705882353	1
mild fever	NA	refdist	0.473992087042532	0.0070832715269202	0.947984174085064	-1
mild rash	severe localized bleeding	refdist	0.607922971383771	0.00889065015785554	0.784154057232458	1
severe difficulty sleeping	severe slurred speech	refdist	0.614207070707071	0.00895917902494125	0.771585858585859	1
severe generalized pain	severe difficulty hearing	refdist	0.608552253302253	0.00925077882205751	0.782895493395493	1
mild rash	mild dizziness	refdist	0.487364028213166	0.00927457177176302	0.974728056426332	-1
severe localized pain	severe headache	refdist	0.604160227495587	0.00998726967571363	0.791679545008825	1
mild abnormal sweating	severe localized pain	refdist	0.577320978071027	0.00921776981268646	0.845358043857947	1
severe difficulty hearing	NA	refdist	0.610089673913043	0.00673799981713736	0.779820652173913	1
severe skin discoloration	severe daytime drowsiness	refdist	0.53366427184466	0.00893666733718902	0.93267145631068	1
mild diarrhea	mild difficulty sleeping	refdist	0.535659603421462	0.00944294512332746	0.928680793157076	1
mild high blood pressure	NA	refdist	0.526609311348206	0.00701993495455927	0.946781377303589	1
severe daytime drowsiness	severe change in weight	refdist	0.52326346718903	0.00938724044938598	0.953473065621939	1
mild coughing	NA	refdist	0.440689775367932	0.00668952293548536	0.881379550735864	-1
mild change in weight	NA	refdist	0.419689231987332	0.00699295706956736	0.839378463974664	-1
mild localized bleeding	severe coughing	refdist	0.555053112840467	0.00869677331254136	0.889893774319066	1
mild abnormal bruising	severe high blood pressure	refdist	0.560048581422464	0.00935322179666896	0.879902837155072	1
mild headache	severe slurred speech	refdist	0.5532025093119	0.00932813642182184	0.893594981376201	1
mild dry mouth	mild fever	refdist	0.460535098039216	0.0120275990568112	0.921070196078431	-1
mild difficulty seeing	severe dizziness	refdist	0.547153771384137	0.00893072411764484	0.905692457231726	1
mild abnormal bruising	severe difficulty breathing	refdist	0.613281638198758	0.00888231503584054	0.773436723602484	1
severe change in weight	NA	refdist	0.447902670623145	0.00716761980757393	0.895805341246291	-1
mildly abnormal mole	NA	refdist	0.381641773628938	0.00684831530935647	0.763283547257876	-1
severe dizziness	NA	refdist	0.563381952547647	0.00705319391669285	0.873236094904706	1
mild difficulty sleeping	severe localized numbness	refdist	0.541351477449456	0.0091892904313408	0.917297045101089	1
mild abnormal sweating	severe slurred speech	refdist	0.553869565217391	0.00953081273528444	0.892260869565217	1
severe constipation	severe difficulty seeing	refdist	0.630443559354964	0.00919829541439121	0.739112881290072	1
mild difficulty breathing	severe high blood pressure	refdist	0.592529079945536	0.00880543382338164	0.814941840108928	1
severe skin discoloration	severe diarrhea	refdist	0.541541464362012	0.00940570574387568	0.916917071275976	1
severe dry mouth	severe daytime drowsiness	refdist	0.524726955171745	0.00923347406505264	0.950546089656511	1
severe dizziness	severe change in appetite	refdist	0.548242346938775	0.00921058547278543	0.903515306122449	1
mild memory problems	mild slurred speech	refdist	0.567530497280497	0.00948397032241026	0.864939005439005	1
severe dry mouth	severe headache	refdist	0.554196862745098	0.0125827653543115	0.891606274509804	1
severe abnormal bruising	severe eye irritation	refdist	0.531208624708625	0.00933962424249453	0.93758275058275	1
mild change in appetite	NA	refdist	0.32288155032628	0.00655349349924278	0.645763100652561	-1
mild difficulty breathing	severe difficulty sleeping	refdist	0.616051117589893	0.00926445030497392	0.767897764820214	1
mild generalized pain	severe slurred speech	refdist	0.568466886774131	0.00932535848693463	0.863066226451738	1
severe change in appetite	NA	refdist	0.486536329439715	0.00712266476599899	0.97307265887943	-1
mild difficulty breathing	mild dizziness	refdist	0.573029143190208	0.00932438206982808	0.853941713619584	1
mild abnormal sweating	severe change in weight	refdist	0.447799451625539	0.0127423090861442	0.895598903251077	-1
severe localized numbness	severe difficulty sleeping	refdist	0.610047017680202	0.00926243565854254	0.779905964639596	1
mild difficulty breathing	NA	refdist	0.592535693444855	0.00706413987668474	0.81492861311029	1
mild memory problems	severe daytime drowsiness	refdist	0.571445652173913	0.00949543102134857	0.857108695652174	1
mild skin discoloration	mild difficulty breathing	refdist	0.55593512043512	0.0098391424225353	0.888129759129759	1
severe localized pain	severe slurred speech	refdist	0.604203574203574	0.00914697689499773	0.791592851592852	1
mild diarrhea	mild headache	refdist	0.513834117647059	0.00931407946800092	0.972331764705882	1
mild eye irritation	severe difficulty breathing	refdist	0.620285298116139	0.00923535214737869	0.759429403767722	1
mildly abnormal mole	mild dizziness	refdist	0.471562354312354	0.0095617838413076	0.943124708624709	-1
severe localized bleeding	severe difficulty breathing	refdist	0.64754347826087	0.00851833000985729	0.704913043478261	1
mild diarrhea	mild dizziness	refdist	0.523882307244125	0.00944904281293668	0.95223538551175	1
severe dry mouth	NA	refdist	0.45392640776699	0.00673499343796381	0.90785281553398	-1
mild generalized pain	severe eye irritation	refdist	0.52615799689441	0.00911818491876726	0.94768400621118	1
severe diarrhea	severe localized pain	refdist	0.599100562997476	0.00904872903411042	0.801798874005047	1
severely abnormal mole	NA	refdist	0.46494220325834	0.0070177007332652	0.92988440651668	-1
mild change in weight	severe fever	refdist	0.532069887151059	0.0128368577978453	0.935860225697882	1
severe headache	severe slurred speech	refdist	0.579715770890545	0.0123724631414029	0.84056845821891	1
mild fever	severe headache	refdist	0.558535325549179	0.012342724590884	0.882929348901643	1
severe localized bleeding	severe sneezing	refdist	0.608368226840163	0.00906451039550468	0.783263546319674	1
severe high blood pressure	severely abnormal mole	refdist	0.566343950281608	0.00981804555190963	0.867312099436784	1
mild sneezing	severe diarrhea	refdist	0.514624417701863	0.00887954658208172	0.970751164596273	1
severe difficulty hearing	severe dry mouth	refdist	0.578656959813628	0.0096367880871523	0.842686080372743	1
mild localized bleeding	severe difficulty seeing	refdist	0.629829415193316	0.0091702875413789	0.740341169613367	1
mild change in appetite	severe localized bleeding	refdist	0.580615987460815	0.0090809658697668	0.83876802507837	1
mild difficulty sleeping	severe headache	refdist	0.570985874043555	0.0132641844352436	0.85802825191289	1
mild localized numbness	mild difficulty sleeping	refdist	0.530066252185739	0.00949894026291817	0.939867495628522	1
severe diarrhea	severe slurred speech	refdist	0.557439805825243	0.00901499313823118	0.885120388349514	1
severe localized bleeding	NA	refdist	0.645153174140944	0.00692384899096135	0.709693651718113	1
mild difficulty seeing	severe high blood pressure	refdist	0.552440707620529	0.00900220368407384	0.895118584758942	1
severe memory problems	severe abnormal bruising	refdist	0.63697298872911	0.00922407649025237	0.72605402254178	1
severe generalized pain	severe eye irritation	refdist	0.591948912198912	0.00924822520780694	0.816102175602176	1
mild constipation	mild change in appetite	refdist	0.450926920062696	0.00898031142627869	0.901853840125392	-1
severe localized pain	severe difficulty hearing	refdist	0.610611844660194	0.00864757355797513	0.778776310679612	1
mildly abnormal mole	severe sneezing	refdist	0.443774688958009	0.00914101085138933	0.887549377916019	-1
mild rash	mild fever	refdist	0.471060743965176	0.0121815802952023	0.942121487930352	-1
mild difficulty seeing	severe memory problems	refdist	0.636497474747475	0.00927677794667207	0.72700505050505	1
mild generalized pain	severe fever	refdist	0.551575769456969	0.0123672742779647	0.896848461086062	1
mild eye irritation	severe generalized pain	refdist	0.580122861586314	0.00947020232762329	0.839754276827372	1
mild rash	mild headache	refdist	0.456256379821958	0.0127936658182076	0.912512759643917	-1
mild change in weight	severe difficulty breathing	refdist	0.610435430139134	0.00957855911695932	0.779129139721732	1
severe difficulty hearing	severe sneezing	refdist	0.579518353078268	0.00921690029839535	0.840963293843465	1
mild memory problems	severe localized bleeding	refdist	0.631896290541853	0.00904770495807991	0.736207418916294	1
severe diarrhea	severe generalized pain	refdist	0.596735236985237	0.00932698010862883	0.806529526029526	1
mild abnormal bruising	mild diarrhea	refdist	0.512184184962114	0.0094269965863359	0.975631630075772	1
mild abnormal bruising	mild coughing	refdist	0.43519914679077	0.00925663669504931	0.87039829358154	-1
mild abnormal bruising	severe change in weight	refdist	0.445581732653861	0.011883421249754	0.891163465307723	-1
mild headache	severe difficulty breathing	refdist	0.615172380019589	0.00931997222330128	0.769655239960823	1
mild skin discoloration	severe fever	refdist	0.528707427003723	0.0135080057811314	0.942585145992553	1
mild dry mouth	severe localized bleeding	refdist	0.597311577311577	0.00883487598064187	0.805376845376845	1
mild generalized pain	severe rash	refdist	0.493708602782677	0.0119059001192824	0.987417205565354	-1
severe localized pain	severe sneezing	refdist	0.58015931610647	0.00896301818825436	0.83968136778706	1
severe difficulty seeing	severe fever	refdist	0.630213963522259	0.00963787410607716	0.739572072955482	1
severe abnormal sweating	severe generalized pain	refdist	0.589404942595836	0.00912060852511195	0.821190114808328	1
severe localized numbness	severe difficulty hearing	refdist	0.600173465423465	0.00946865750833186	0.799653069153069	1
severe high blood pressure	severe coughing	refdist	0.583577267419229	0.0086876091877357	0.832845465161542	1
mildly abnormal mole	severe headache	refdist	0.539613422291994	0.0127780727396999	0.920773155416013	1
mild difficulty sleeping	severe high blood pressure	refdist	0.548278047832005	0.00912698803343889	0.903443904335991	1
mild localized pain	mild change in weight	refdist	0.487046470588235	0.00949299702219674	0.974092941176471	-1
mild eye irritation	mild dry mouth	refdist	0.455263168124393	0.00940511563666448	0.910526336248785	-1
severely abnormal mole	severe diarrhea	refdist	0.533896605237633	0.00933230186052435	0.932206789524733	1
mild constipation	mild difficulty sleeping	refdist	0.526559634809635	0.00910236039940059	0.94688073038073	1
mild generalized pain	severe localized numbness	refdist	0.552517482517483	0.009198826495088	0.894965034965035	1
severe dizziness	severe difficulty sleeping	refdist	0.610722114263506	0.00909432603791957	0.778555771472989	1
severe diarrhea	severe change in weight	refdist	0.530959639498433	0.00975142346261009	0.938080721003135	1
mild skin discoloration	severe difficulty breathing	refdist	0.607788707799767	0.00896726681864168	0.784422584400466	1
mild generalized pain	mild eye irritation	refdist	0.509010681685764	0.00921776620686201	0.981978636628472	1
severe headache	severe change in appetite	refdist	0.559936250247476	0.0123460868101887	0.880127499505049	1
mildly abnormal mole	mild change in appetite	refdist	0.370065306922926	0.00932245535697549	0.740130613845852	-1
mild fever	severe difficulty hearing	refdist	0.582714929467085	0.00914857473927896	0.834570141065831	1
mild dry mouth	severe localized pain	refdist	0.569787448999417	0.00932829529459745	0.860425102001166	1
mild difficulty hearing	mild difficulty breathing	refdist	0.578988528096442	0.00947808770080689	0.842022943807117	1
mild diarrhea	severe localized pain	refdist	0.594664659024675	0.00914495451844649	0.810670681950651	1
mild localized pain	severe change in weight	refdist	0.492981768280729	0.0092373625644591	0.985963536561459	-1
mild localized bleeding	severe skin discoloration	refdist	0.544860447035957	0.009678102378789	0.910279105928085	1
mild skin discoloration	mild generalized pain	refdist	0.496566854259655	0.00931999631499844	0.993133708519309	-1
mild dry mouth	severely abnormal mole	refdist	0.453691127936323	0.00939106525459475	0.907382255872646	-1
mild difficulty hearing	severe change in appetite	refdist	0.516280251029614	0.00927570428907847	0.967439497940773	1
mild high blood pressure	mild change in appetite	refdist	0.485701331766549	0.00881984555651028	0.971402663533098	-1
mild memory problems	mild change in appetite	refdist	0.52746942375539	0.0091270866154346	0.94506115248922	1
severe constipation	severe dry mouth	refdist	0.540755244755245	0.00906127732650011	0.91848951048951	1
severe abnormal sweating	severe sneezing	refdist	0.506004280155642	0.00938128201333184	0.987991439688716	1
mild localized bleeding	severe headache	refdist	0.574580816006277	0.0130655816151006	0.850838367987446	1
mild slurred speech	mild change in appetite	refdist	0.482363707622967	0.00913117085044415	0.964727415245934	-1
severe high blood pressure	severe abnormal bruising	refdist	0.582503402683259	0.00942525390272779	0.834993194633482	1
severe constipation	severe eye irritation	refdist	0.554797436395417	0.00885487824422313	0.890405127209167	1
mild constipation	severe difficulty sleeping	refdist	0.59380974568045	0.00951733360629399	0.812380508639099	1
mild generalized pain	mild fever	refdist	0.4833125	0.0117880313460663	0.966625	-1
mild dry mouth	mild change in weight	refdist	0.409949205726613	0.00925263445011103	0.819898411453226	-1
mild skin discoloration	severe localized bleeding	refdist	0.597124587618863	0.00917876165536865	0.805750824762274	1
mild dry mouth	severe headache	refdist	0.544651824244802	0.0123277226594146	0.910696351510396	1
mildly abnormal mole	severe rash	refdist	0.466021577089055	0.0125413771591402	0.932043154178109	-1
mild constipation	severe high blood pressure	refdist	0.570257675864749	0.00922505924711906	0.859484648270501	1
mild localized pain	severe daytime drowsiness	refdist	0.534289596273292	0.00911762480406795	0.931420807453416	1
mild difficulty seeing	mild difficulty breathing	refdist	0.58285125413183	0.00934238181807498	0.834297491736341	1
mildly abnormal mole	mild difficulty hearing	refdist	0.495326788491446	0.00907186932695803	0.990653576982893	-1
severely abnormal mole	severe sneezing	refdist	0.46362182100563	0.00880550112701586	0.92724364201126	-1
mild sneezing	severe localized numbness	refdist	0.523080046629104	0.0089986577607437	0.953839906741791	1
severe localized pain	severe coughing	refdist	0.59792707117853	0.00900741457186818	0.80414585764294	1
mild localized numbness	severe sneezing	refdist	0.494856449106449	0.00888944538553795	0.989712898212898	-1
mild abnormal bruising	severe constipation	refdist	0.536470668220668	0.00907774388053082	0.927058663558664	1
mild constipation	severe slurred speech	refdist	0.56096640124296	0.00906395866216246	0.87806719751408	1
mild difficulty seeing	mild dry mouth	refdist	0.515542363000389	0.00903930840600817	0.968915273999223	1
mild daytime drowsiness	severe difficulty breathing	refdist	0.619742812742813	0.00911938748584793	0.760514374514375	1
mild skin discoloration	severe headache	refdist	0.544502156017248	0.0134946101042075	0.910995687965504	1
mild difficulty breathing	severe abnormal bruising	refdist	0.583751069622715	0.0092929203419367	0.83249786075457	1
mild change in appetite	severe difficulty sleeping	refdist	0.563295846394984	0.008797380470581	0.873408307210031	1
mild difficulty breathing	severe skin discoloration	refdist	0.574831226910364	0.00951987675196971	0.850337546179273	1
mildly abnormal mole	severe generalized pain	refdist	0.562801672175773	0.00925694542328739	0.874396655648454	1
mild skin discoloration	mild sneezing	refdist	0.397704249951485	0.00882330612876005	0.795408499902969	-1
mild difficulty hearing	severe dry mouth	refdist	0.510175407925408	0.00917155863153153	0.979649184149184	1
mildly abnormal mole	severe skin discoloration	refdist	0.476284464320436	0.00903101921700535	0.952568928640871	-1
mild change in appetite	severe localized pain	refdist	0.553276112090927	0.00883708286271524	0.893447775818146	1
mild generalized pain	severe change in weight	refdist	0.504995885579937	0.009455076027076	0.990008228840125	1
mild localized pain	mild sneezing	refdist	0.476682074189163	0.00859679091212009	0.953364148378326	-1
mild difficulty breathing	severe daytime drowsiness	refdist	0.58243648018648	0.00970542216858222	0.83512703962704	1
mild localized pain	severe eye irritation	refdist	0.522356310679612	0.00926450322524043	0.955287378640777	1
severe difficulty hearing	severe fever	refdist	0.599917075083317	0.00908568198154531	0.800165849833366	1
mild generalized pain	mild difficulty breathing	refdist	0.578462495141858	0.00911323151713114	0.843075009716284	1
severe localized bleeding	severe generalized pain	refdist	0.637900913153293	0.00886822008520044	0.724198173693414	1
mild abnormal sweating	severe dizziness	refdist	0.540140970873786	0.00929007197328054	0.919718058252427	1
mild headache	severe sneezing	refdist	0.455641834934327	0.00943878861985651	0.911283669868653	-1
mild fever	severe slurred speech	refdist	0.559105469515781	0.00928317020148559	0.881789060968438	1
mildly abnormal mole	severe difficulty seeing	refdist	0.594648979591837	0.00912471969751852	0.810702040816327	1
severe memory problems	severe dizziness	refdist	0.640424489795918	0.00900742730792108	0.719151020408163	1
mild change in weight	severe sneezing	refdist	0.451631496371838	0.00966831224826612	0.903262992743675	-1
mild difficulty sleeping	severe abnormal bruising	refdist	0.53868798600311	0.00920196903073267	0.922624027993779	1
severe skin discoloration	severe localized pain	refdist	0.58850145715951	0.00932767780843084	0.822997085680979	1
severe abnormal bruising	severe constipation	refdist	0.559027405247813	0.00938104684627502	0.881945189504373	1
severe coughing	severe daytime drowsiness	refdist	0.549340524781341	0.00952173378244925	0.901318950437318	1
mild diarrhea	mild slurred speech	refdist	0.530045083560047	0.00972898119906277	0.939909832879907	1
mild eye irritation	mild change in appetite	refdist	0.439046265438149	0.00919868044653445	0.878092530876299	-1
mild rash	mild sneezing	refdist	0.440529400235202	0.0121478615165846	0.881058800470404	-1
