IA1	IB1	averageP	sdp	overlap	direction	I1qw	I2qw
mild high blood pressure	severe localized numbness	0.463954545454545	0.0462075001157956	0.927909090909091	-1	1 high blood pressure	2 localized numbness
mild high blood pressure	mild eye irritation	0.489942857142857	0.0474647043489149	0.979885714285714	-1	1 high blood pressure	1 eye irritation
mild high blood pressure	severe eye irritation	0.516407894736842	0.045658777670502	0.967184210526316	1	1 high blood pressure	2 eye irritation
mild high blood pressure	mild difficulty seeing	0.451596330275229	0.0472328558026039	0.903192660550459	-1	1 high blood pressure	1 difficulty seeing
mild high blood pressure	severe difficulty seeing	0.374472972972973	0.0436521633739163	0.748945945945946	-1	1 high blood pressure	2 difficulty seeing
mild high blood pressure	mild difficulty hearing	0.492481132075472	0.048015712999831	0.984962264150943	-1	1 high blood pressure	1 difficulty hearing
mild high blood pressure	severe difficulty hearing	0.409706140350877	0.0450722798154341	0.819412280701754	-1	1 high blood pressure	2 difficulty hearing
mild high blood pressure	mild dry mouth	0.603657407407407	0.0453991929570546	0.792685185185185	1	1 high blood pressure	1 dry mouth
mild high blood pressure	severe dry mouth	0.559067567567568	0.0466161437196856	0.881864864864865	1	1 high blood pressure	2 dry mouth
mild high blood pressure	mild coughing	0.548128205128205	0.0449112158543379	0.90374358974359	1	1 high blood pressure	1 coughing
mild high blood pressure	severe coughing	0.484867647058824	0.0484643002938688	0.969735294117647	-1	1 high blood pressure	2 coughing
mild high blood pressure	mild sneezing	0.601224576271186	0.044002256819864	0.797550847457627	1	1 high blood pressure	1 sneezing
mild high blood pressure	severe sneezing	0.577808823529412	0.0476957364875352	0.844382352941176	1	1 high blood pressure	2 sneezing
mild high blood pressure	mild difficulty breathing	0.400622641509434	0.046928713169151	0.801245283018868	-1	1 high blood pressure	1 difficulty breathing
mild high blood pressure	severe difficulty breathing	0.367557522123894	0.0459314907122156	0.735115044247788	-1	1 high blood pressure	2 difficulty breathing
mild high blood pressure	mild fever	0.524325892857143	0.0447872769024231	0.951348214285714	1	1 high blood pressure	1 fever
mild high blood pressure	severe fever	0.438803738317757	0.0476330053051334	0.877607476635514	-1	1 high blood pressure	2 fever
mild high blood pressure	mild dizziness	0.505676991150443	0.0475020477115616	0.988646017699115	1	1 high blood pressure	1 dizziness
mild high blood pressure	severe dizziness	0.43385046728972	0.0460532434405138	0.867700934579439	-1	1 high blood pressure	2 dizziness
mild high blood pressure	mild headache	0.548380530973451	0.0462652825343203	0.903238938053097	1	1 high blood pressure	1 headache
mild high blood pressure	severe headache	0.43297641509434	0.0490165162547356	0.865952830188679	-1	1 high blood pressure	2 headache
mild high blood pressure	mild daytime drowsiness	0.499883177570093	0.0460025998997286	0.999766355140187	-1	1 high blood pressure	1 daytime drowsiness
mild high blood pressure	severe daytime drowsiness	0.486959821428571	0.0454055837550505	0.973919642857143	-1	1 high blood pressure	2 daytime drowsiness
mild high blood pressure	mild difficulty sleeping	0.464066037735849	0.0467029028671272	0.928132075471698	-1	1 high blood pressure	1 difficulty sleeping
mild high blood pressure	severe difficulty sleeping	0.392738938053097	0.0447592659835071	0.785477876106195	-1	1 high blood pressure	2 difficulty sleeping
mild high blood pressure	mild slurred speech	0.452621495327103	0.0480608011531923	0.905242990654206	-1	1 high blood pressure	1 slurred speech
mild high blood pressure	severe slurred speech	0.452814159292035	0.0457908380543321	0.905628318584071	-1	1 high blood pressure	2 slurred speech
mild high blood pressure	mild change in appetite	0.65415625	0.045463604877068	0.6916875	1	1 high blood pressure	1 change in appetite
mild high blood pressure	severe change in appetite	0.512528037383178	0.0469606949049318	0.974943925233645	1	1 high blood pressure	2 change in appetite
mild high blood pressure	mild change in weight	0.571791666666667	0.0489708555561893	0.856416666666667	1	1 high blood pressure	1 change in weight
mild high blood pressure	severe change in weight	0.551351351351351	0.0473239681074823	0.897297297297297	1	1 high blood pressure	2 change in weight
severe high blood pressure	mild memory problems	0.468513043478261	0.0457911669523439	0.937026086956522	-1	2 high blood pressure	1 memory problems
severe high blood pressure	severe memory problems	0.431737068965517	0.0457922758367989	0.863474137931034	-1	2 high blood pressure	2 memory problems
severe high blood pressure	mild abnormal sweating	0.65635775862069	0.0423950659339668	0.687284482758621	1	2 high blood pressure	1 abnormal sweating
severe high blood pressure	severe abnormal sweating	0.566621739130435	0.045177373520979	0.86675652173913	1	2 high blood pressure	2 abnormal sweating
severe high blood pressure	mild skin discoloration	0.631905172413793	0.0442840785621295	0.736189655172414	1	2 high blood pressure	1 skin discoloration
severe high blood pressure	severe skin discoloration	0.552254310344828	0.0456461278140049	0.895491379310345	1	2 high blood pressure	2 skin discoloration
severe high blood pressure	mild rash	0.621793103448276	0.0432925471302745	0.756413793103448	1	2 high blood pressure	1 rash
severe high blood pressure	severe rash	0.572969565217391	0.0453561282441036	0.854060869565217	1	2 high blood pressure	2 rash
severe high blood pressure	mild abnormal bruising	0.675235042735043	0.0416591058235377	0.649529914529914	1	2 high blood pressure	1 abnormal bruising
severe high blood pressure	severe abnormal bruising	0.545217391304348	0.0455173162586231	0.909565217391304	1	2 high blood pressure	2 abnormal bruising
severe high blood pressure	a mildly abnormal mole	0.68412037037037	0.0448493675497268	0.631759259259259	1	2 high blood pressure	1 abnormal mole
severe high blood pressure	a severely abnormal mole	0.594616935483871	0.0423427505840537	0.810766129032258	1	2 high blood pressure	2 abnormal mole
severe high blood pressure	mild diarrhea	0.517424778761062	0.0456942343316436	0.965150442477876	1	2 high blood pressure	1 diarrhea
severe high blood pressure	severe diarrhea	0.552109243697479	0.0439150280405023	0.895781512605042	1	2 high blood pressure	2 diarrhea
severe high blood pressure	mild constipation	0.587542735042735	0.042840098917983	0.82491452991453	1	2 high blood pressure	1 constipation
severe high blood pressure	severe constipation	0.532465217391304	0.044548118223947	0.935069565217391	1	2 high blood pressure	2 constipation
severe high blood pressure	mild localized bleeding	0.500866379310345	0.0453786246546827	0.99826724137931	1	2 high blood pressure	1 localized bleeding
severe high blood pressure	severe localized bleeding	0.467672413793103	0.0442946612027427	0.935344827586207	-1	2 high blood pressure	2 localized bleeding
severe high blood pressure	mild localized pain	0.534163865546219	0.0436112539265358	0.931672268907563	1	2 high blood pressure	1 localized pain
severe high blood pressure	severe localized pain	0.50487610619469	0.0474047210766837	0.990247787610619	1	2 high blood pressure	2 localized pain
severe high blood pressure	mild generalized pain	0.5132125	0.0460022743724904	0.973575	1	2 high blood pressure	1 generalized pain
severe high blood pressure	severe generalized pain	0.490959821428571	0.0452117634503202	0.981919642857143	-1	2 high blood pressure	2 generalized pain
severe high blood pressure	mild localized numbness	0.526905172413793	0.0444918591127737	0.946189655172414	1	2 high blood pressure	1 localized numbness
severe high blood pressure	severe localized numbness	0.537870689655172	0.0430331059384341	0.924258620689655	1	2 high blood pressure	2 localized numbness
severe high blood pressure	mild eye irritation	0.569198198198198	0.0471284890632173	0.861603603603604	1	2 high blood pressure	1 eye irritation
severe high blood pressure	severe eye irritation	0.605216666666667	0.0434712040195834	0.789566666666667	1	2 high blood pressure	2 eye irritation
severe high blood pressure	mild difficulty seeing	0.529204347826087	0.0456793484943832	0.941591304347826	1	2 high blood pressure	1 difficulty seeing
severe high blood pressure	severe difficulty seeing	0.447854700854701	0.044035216038313	0.895709401709402	-1	2 high blood pressure	2 difficulty seeing
severe high blood pressure	mild difficulty hearing	0.57434375	0.0455691368465077	0.8513125	1	2 high blood pressure	1 difficulty hearing
severe high blood pressure	severe difficulty hearing	0.492079166666667	0.0439709826913912	0.984158333333333	-1	2 high blood pressure	2 difficulty hearing
severe high blood pressure	mild dry mouth	0.68675	0.0424282518456414	0.6265	1	2 high blood pressure	1 dry mouth
severe high blood pressure	severe dry mouth	0.645918803418803	0.0420211008147531	0.708162393162393	1	2 high blood pressure	2 dry mouth
severe high blood pressure	mild coughing	0.628910569105691	0.0423763140795897	0.742178861788618	1	2 high blood pressure	1 coughing
severe high blood pressure	severe coughing	0.573884259259259	0.0462599769950515	0.852231481481482	1	2 high blood pressure	2 coughing
severe high blood pressure	mild sneezing	0.687145161290323	0.0406494581149901	0.625709677419355	1	2 high blood pressure	1 sneezing
severe high blood pressure	severe sneezing	0.656662037037037	0.0454674722745136	0.686675925925926	1	2 high blood pressure	2 sneezing
severe high blood pressure	mild difficulty breathing	0.475008928571429	0.0450234022083492	0.950017857142857	-1	2 high blood pressure	1 difficulty breathing
severe high blood pressure	severe difficulty breathing	0.434605042016807	0.0432229665579724	0.869210084033613	-1	2 high blood pressure	2 difficulty breathing
severe high blood pressure	mild fever	0.603419491525424	0.0438833754321695	0.793161016949153	1	2 high blood pressure	1 fever
severe high blood pressure	severe fever	0.520110619469027	0.0457027727220474	0.959778761061947	1	2 high blood pressure	2 fever
severe high blood pressure	mild dizziness	0.586857142857143	0.0448318076014934	0.826285714285714	1	2 high blood pressure	1 dizziness
severe high blood pressure	severe dizziness	0.510261061946903	0.0455423836026283	0.979477876106195	1	2 high blood pressure	2 dizziness
severe high blood pressure	mild headache	0.637920168067227	0.0428011133053281	0.724159663865546	1	2 high blood pressure	1 headache
severe high blood pressure	severe headache	0.507026785714286	0.0444988480578247	0.985946428571429	1	2 high blood pressure	2 headache
severe high blood pressure	mild daytime drowsiness	0.586973451327434	0.0436151286010439	0.826053097345133	1	2 high blood pressure	1 daytime drowsiness
severe high blood pressure	severe daytime drowsiness	0.569491525423729	0.0438806413736255	0.861016949152542	1	2 high blood pressure	2 daytime drowsiness
severe high blood pressure	mild difficulty sleeping	0.536084821428571	0.0459730745130337	0.927830357142857	1	2 high blood pressure	1 difficulty sleeping
severe high blood pressure	severe difficulty sleeping	0.464239495798319	0.0445065057781768	0.928478991596639	-1	2 high blood pressure	2 difficulty sleeping
severe high blood pressure	mild slurred speech	0.529955752212389	0.0455057608983809	0.940088495575221	1	2 high blood pressure	1 slurred speech
severe high blood pressure	severe slurred speech	0.530949579831933	0.0435033757112911	0.938100840336134	1	2 high blood pressure	2 slurred speech
severe high blood pressure	mild change in appetite	0.741614406779661	0.0402950266116678	0.516771186440678	1	2 high blood pressure	1 change in appetite
severe high blood pressure	severe change in appetite	0.602946902654867	0.0461472847862137	0.794106194690265	1	2 high blood pressure	2 change in appetite
severe high blood pressure	mild change in weight	0.654381578947368	0.0425975711604066	0.691236842105263	1	2 high blood pressure	1 change in weight
severe high blood pressure	severe change in weight	0.631320512820513	0.0435523176897522	0.737358974358974	1	2 high blood pressure	2 change in weight
mild memory problems	severe memory problems	0.466526548672566	0.0456632613159168	0.933053097345133	-1	1 memory problems	2 memory problems
mild memory problems	mild abnormal sweating	0.671862831858407	0.0437569037351959	0.656274336283186	1	1 memory problems	1 abnormal sweating
mild memory problems	severe abnormal sweating	0.59090625	0.0442269412115477	0.8181875	1	1 memory problems	2 abnormal sweating
mild memory problems	mild skin discoloration	0.650654867256637	0.0446998477744544	0.698690265486726	1	1 memory problems	1 skin discoloration
mild memory problems	severe skin discoloration	0.583165178571429	0.0452882525006009	0.833669642857143	1	1 memory problems	2 skin discoloration
mild memory problems	mild rash	0.638991150442478	0.044574400257412	0.722017699115044	1	1 memory problems	1 rash
mild memory problems	severe rash	0.591108108108108	0.0464504323794122	0.817783783783784	1	1 memory problems	2 rash
mild memory problems	mild abnormal bruising	0.695318584070796	0.0423767134152355	0.609362831858407	1	1 memory problems	1 abnormal bruising
mild memory problems	severe abnormal bruising	0.572200892857143	0.0467350512188606	0.855598214285714	1	1 memory problems	2 abnormal bruising
mild memory problems	a mildly abnormal mole	0.696567307692308	0.0449117391016159	0.606865384615385	1	1 memory problems	1 abnormal mole
mild memory problems	a severely abnormal mole	0.621558333333333	0.0434718492438115	0.756883333333333	1	1 memory problems	2 abnormal mole
mild memory problems	mild diarrhea	0.549718181818182	0.0454272727354677	0.900563636363636	1	1 memory problems	1 diarrhea
mild memory problems	severe diarrhea	0.579417391304348	0.0451858697097063	0.841165217391304	1	1 memory problems	2 diarrhea
mild memory problems	mild constipation	0.610508849557522	0.0449243532900626	0.778982300884956	1	1 memory problems	1 constipation
mild memory problems	severe constipation	0.56327027027027	0.0449389320895446	0.873459459459459	1	1 memory problems	2 constipation
mild memory problems	mild localized bleeding	0.537696428571429	0.046559661183244	0.924607142857143	1	1 memory problems	1 localized bleeding
mild memory problems	severe localized bleeding	0.496247787610619	0.0460783597252579	0.992495575221239	-1	1 memory problems	2 localized bleeding
mild memory problems	mild localized pain	0.56655652173913	0.045899657259838	0.866886956521739	1	1 memory problems	1 localized pain
mild memory problems	severe localized pain	0.53702752293578	0.0463200053975045	0.92594495412844	1	1 memory problems	2 localized pain
mild memory problems	mild generalized pain	0.541616379310345	0.0448989152917085	0.91676724137931	1	1 memory problems	1 generalized pain
mild memory problems	severe generalized pain	0.523393518518519	0.0482923854500419	0.953212962962963	1	1 memory problems	2 generalized pain
mild memory problems	mild localized numbness	0.558459821428571	0.0460064466755025	0.883080357142857	1	1 memory problems	1 localized numbness
mild memory problems	severe localized numbness	0.570642857142857	0.0443305211543932	0.858714285714286	1	1 memory problems	2 localized numbness
mild memory problems	mild eye irritation	0.597203703703704	0.0457292939899869	0.805592592592593	1	1 memory problems	1 eye irritation
mild memory problems	severe eye irritation	0.634722222222222	0.0431783545972786	0.730555555555556	1	1 memory problems	2 eye irritation
mild memory problems	mild difficulty seeing	0.552085585585586	0.0479308181438749	0.895828828828829	1	1 memory problems	1 difficulty seeing
mild memory problems	severe difficulty seeing	0.488728070175439	0.0460942897527854	0.977456140350877	-1	1 memory problems	2 difficulty seeing
mild memory problems	mild difficulty hearing	0.596611111111111	0.0442103615115428	0.806777777777778	1	1 memory problems	1 difficulty hearing
mild memory problems	severe difficulty hearing	0.526176724137931	0.0454995839285674	0.947646551724138	1	1 memory problems	2 difficulty hearing
mild memory problems	mild dry mouth	0.700831818181818	0.0443531851800311	0.598336363636364	1	1 memory problems	1 dry mouth
mild memory problems	severe dry mouth	0.666618421052632	0.0417066526284103	0.666763157894737	1	1 memory problems	2 dry mouth
mild memory problems	mild coughing	0.6513375	0.0408694927417107	0.697325	1	1 memory problems	1 coughing
mild memory problems	severe coughing	0.599095238095238	0.0472587302262125	0.801809523809524	1	1 memory problems	2 coughing
mild memory problems	mild sneezing	0.701695833333333	0.0399629473223193	0.596608333333333	1	1 memory problems	1 sneezing
mild memory problems	severe sneezing	0.67607619047619	0.0455789263471874	0.647847619047619	1	1 memory problems	2 sneezing
mild memory problems	mild difficulty breathing	0.502655963302752	0.0472481185630129	0.994688073394495	1	1 memory problems	1 difficulty breathing
mild memory problems	severe difficulty breathing	0.470064655172414	0.0463303942842795	0.940129310344828	-1	1 memory problems	2 difficulty breathing
mild memory problems	mild fever	0.634412280701754	0.0437331746893333	0.731175438596491	1	1 memory problems	1 fever
mild memory problems	severe fever	0.557668181818182	0.0456368695269939	0.884663636363636	1	1 memory problems	2 fever
mild memory problems	mild dizziness	0.610452173913044	0.0464682770850761	0.779095652173913	1	1 memory problems	1 dizziness
mild memory problems	severe dizziness	0.549559090909091	0.0445416544331348	0.900881818181818	1	1 memory problems	2 dizziness
mild memory problems	mild headache	0.655995652173913	0.0435674671313949	0.688008695652174	1	1 memory problems	1 headache
mild memory problems	severe headache	0.531231481481481	0.0482210923526685	0.937537037037037	1	1 memory problems	2 headache
mild memory problems	mild daytime drowsiness	0.614940366972477	0.0448978187282876	0.770119266055046	1	1 memory problems	1 daytime drowsiness
mild memory problems	severe daytime drowsiness	0.596234782608696	0.0450808036453124	0.807530434782609	1	1 memory problems	2 daytime drowsiness
mild memory problems	mild difficulty sleeping	0.561848623853211	0.0454554301539369	0.876302752293578	1	1 memory problems	1 difficulty sleeping
mild memory problems	severe difficulty sleeping	0.500847826086957	0.045471766797823	0.998304347826087	1	1 memory problems	2 difficulty sleeping
mild memory problems	mild slurred speech	0.557872727272727	0.0465844140060755	0.884254545454545	1	1 memory problems	1 slurred speech
mild memory problems	severe slurred speech	0.559095652173913	0.0457634925044681	0.881808695652174	1	1 memory problems	2 slurred speech
mild memory problems	mild change in appetite	0.743334782608696	0.0397795486161227	0.513330434782609	1	1 memory problems	1 change in appetite
mild memory problems	severe change in appetite	0.629322727272727	0.0443783786794112	0.741354545454545	1	1 memory problems	2 change in appetite
mild memory problems	mild change in weight	0.668297297297297	0.0440693129929669	0.663405405405405	1	1 memory problems	1 change in weight
mild memory problems	severe change in weight	0.651881578947368	0.0439577426751806	0.696236842105263	1	1 memory problems	2 change in weight
severe memory problems	mild abnormal sweating	0.69984649122807	0.0416051620759281	0.60030701754386	1	2 memory problems	1 abnormal sweating
severe memory problems	severe abnormal sweating	0.626977876106195	0.0436760907257186	0.746044247787611	1	2 memory problems	2 abnormal sweating
severe memory problems	mild skin discoloration	0.681407894736842	0.0439115736313631	0.637184210526316	1	2 memory problems	1 skin discoloration
severe memory problems	severe skin discoloration	0.611646017699115	0.0430407932455854	0.77670796460177	1	2 memory problems	2 skin discoloration
severe memory problems	mild rash	0.678684210526316	0.0418236496434832	0.642631578947368	1	2 memory problems	1 rash
severe memory problems	severe rash	0.626169642857143	0.0452000645576374	0.747660714285714	1	2 memory problems	2 rash
severe memory problems	mild abnormal bruising	0.721385964912281	0.0407922857750528	0.557228070175439	1	2 memory problems	1 abnormal bruising
severe memory problems	severe abnormal bruising	0.602309734513274	0.0436881876202274	0.795380530973451	1	2 memory problems	2 abnormal bruising
severe memory problems	a mildly abnormal mole	0.731014285714286	0.0430702739160924	0.537971428571429	1	2 memory problems	1 abnormal mole
severe memory problems	a severely abnormal mole	0.647987603305785	0.0400553696485043	0.70402479338843	1	2 memory problems	2 abnormal mole
severe memory problems	mild diarrhea	0.580617117117117	0.0451725577983443	0.838765765765766	1	2 memory problems	1 diarrhea
severe memory problems	severe diarrhea	0.610633620689655	0.0442564605388889	0.77873275862069	1	2 memory problems	2 diarrhea
severe memory problems	mild constipation	0.645570175438597	0.0438776239443536	0.708859649122807	1	2 memory problems	1 constipation
severe memory problems	severe constipation	0.59425	0.0449442528691713	0.8115	1	2 memory problems	2 constipation
severe memory problems	mild localized bleeding	0.569044247787611	0.0444076554251983	0.861911504424779	1	2 memory problems	1 localized bleeding
severe memory problems	severe localized bleeding	0.528828947368421	0.0460147588088262	0.942342105263158	1	2 memory problems	2 localized bleeding
severe memory problems	mild localized pain	0.592724137931035	0.0432752298206182	0.814551724137931	1	2 memory problems	1 localized pain
severe memory problems	severe localized pain	0.5736	0.0477332059977391	0.8528	1	2 memory problems	2 localized pain
severe memory problems	mild generalized pain	0.577705128205128	0.0441691703968525	0.844589743589744	1	2 memory problems	1 generalized pain
severe memory problems	severe generalized pain	0.552082568807339	0.0453517405692756	0.895834862385321	1	2 memory problems	2 generalized pain
severe memory problems	mild localized numbness	0.586761061946903	0.0456629525118762	0.826477876106195	1	2 memory problems	1 localized numbness
severe memory problems	severe localized numbness	0.598314159292035	0.0444314486740241	0.803371681415929	1	2 memory problems	2 localized numbness
severe memory problems	mild eye irritation	0.63305504587156	0.0451658818475598	0.733889908256881	1	2 memory problems	1 eye irritation
severe memory problems	severe eye irritation	0.66156779661017	0.0435201855010545	0.676864406779661	1	2 memory problems	2 eye irritation
severe memory problems	mild difficulty seeing	0.582834821428571	0.0439063584188469	0.834330357142857	1	2 memory problems	1 difficulty seeing
severe memory problems	severe difficulty seeing	0.517604347826087	0.0445680115083096	0.964791304347826	1	2 memory problems	2 difficulty seeing
severe memory problems	mild difficulty hearing	0.629165137614679	0.0452281133522183	0.741669724770642	1	2 memory problems	1 difficulty hearing
severe memory problems	severe difficulty hearing	0.55707264957265	0.0442261393743237	0.885854700854701	1	2 memory problems	2 difficulty hearing
severe memory problems	mild dry mouth	0.733256756756757	0.0405192200758713	0.533486486486487	1	2 memory problems	1 dry mouth
severe memory problems	severe dry mouth	0.698130434782609	0.0410560657439531	0.603739130434783	1	2 memory problems	2 dry mouth
severe memory problems	mild coughing	0.682574380165289	0.04237434923936	0.634851239669421	1	2 memory problems	1 coughing
severe memory problems	severe coughing	0.634518867924528	0.0471489547257211	0.730962264150943	1	2 memory problems	2 coughing
severe memory problems	mild sneezing	0.735264462809917	0.0386041809043471	0.529471074380165	1	2 memory problems	1 sneezing
severe memory problems	severe sneezing	0.705584905660377	0.0455520218986183	0.588830188679245	1	2 memory problems	2 sneezing
severe memory problems	mild difficulty breathing	0.546927272727273	0.0467777696131176	0.906145454545455	1	2 memory problems	1 difficulty breathing
severe memory problems	severe difficulty breathing	0.498042735042735	0.0445127533759047	0.99608547008547	-1	2 memory problems	2 difficulty breathing
severe memory problems	mild fever	0.659621739130435	0.0423839816776106	0.68075652173913	1	2 memory problems	1 fever
severe memory problems	severe fever	0.59295045045045	0.0449506570451671	0.814099099099099	1	2 memory problems	2 fever
severe memory problems	mild dizziness	0.642672413793103	0.0433366718584833	0.714655172413793	1	2 memory problems	1 dizziness
severe memory problems	severe dizziness	0.572004504504504	0.0433433905942387	0.855990990990991	1	2 memory problems	2 dizziness
severe memory problems	mild headache	0.687676724137931	0.0428364758225549	0.624646551724138	1	2 memory problems	1 headache
severe memory problems	severe headache	0.566967889908257	0.0466790737040251	0.866064220183486	1	2 memory problems	2 headache
severe memory problems	mild daytime drowsiness	0.646909090909091	0.0437158594290656	0.706181818181818	1	2 memory problems	1 daytime drowsiness
severe memory problems	severe daytime drowsiness	0.626275862068965	0.042561656569603	0.747448275862069	1	2 memory problems	2 daytime drowsiness
severe memory problems	mild difficulty sleeping	0.596663636363636	0.0454557384500828	0.806672727272727	1	2 memory problems	1 difficulty sleeping
severe memory problems	severe difficulty sleeping	0.530198275862069	0.0480239150043575	0.939603448275862	1	2 memory problems	2 difficulty sleeping
severe memory problems	mild slurred speech	0.593234234234234	0.0463225487140801	0.813531531531531	1	2 memory problems	1 slurred speech
severe memory problems	severe slurred speech	0.586887931034483	0.045128848154653	0.826224137931034	1	2 memory problems	2 slurred speech
severe memory problems	mild change in appetite	0.777784482758621	0.0364627262740948	0.444431034482759	1	2 memory problems	1 change in appetite
severe memory problems	severe change in appetite	0.658554054054054	0.0448052937973993	0.682891891891892	1	2 memory problems	2 change in appetite
severe memory problems	mild change in weight	0.703620535714286	0.0415712002247424	0.592758928571429	1	2 memory problems	1 change in weight
severe memory problems	severe change in weight	0.684026086956522	0.0443362537564799	0.631947826086956	1	2 memory problems	2 change in weight
mild abnormal sweating	severe abnormal sweating	0.410823008849558	0.0448160127128101	0.821646017699115	-1	1 abnormal sweating	2 abnormal sweating
mild abnormal sweating	mild skin discoloration	0.485614035087719	0.0451608777465635	0.971228070175439	-1	1 abnormal sweating	1 skin discoloration
mild abnormal sweating	severe skin discoloration	0.401619469026549	0.0450334729073585	0.803238938053097	-1	1 abnormal sweating	2 skin discoloration
mild abnormal sweating	mild rash	0.448105263157895	0.0447484225357938	0.896210526315789	-1	1 abnormal sweating	1 rash
mild abnormal sweating	severe rash	0.425732142857143	0.0463988412551085	0.851464285714286	-1	1 abnormal sweating	2 rash
mild abnormal sweating	mild abnormal bruising	0.502815789473684	0.0467172780087271	0.994368421052632	1	1 abnormal sweating	1 abnormal bruising
mild abnormal sweating	severe abnormal bruising	0.398685840707965	0.045056781703038	0.797371681415929	-1	1 abnormal sweating	2 abnormal bruising
mild abnormal sweating	a mildly abnormal mole	0.537238095238095	0.0475870048062261	0.925523809523809	1	1 abnormal sweating	1 abnormal mole
mild abnormal sweating	a severely abnormal mole	0.453322314049587	0.045357685844114	0.906644628099174	-1	1 abnormal sweating	2 abnormal mole
mild abnormal sweating	mild diarrhea	0.359797297297297	0.0447522191721471	0.719594594594595	-1	1 abnormal sweating	1 diarrhea
mild abnormal sweating	severe diarrhea	0.400456896551724	0.0441224270545887	0.800913793103448	-1	1 abnormal sweating	2 diarrhea
mild abnormal sweating	mild constipation	0.427991228070175	0.0445226905508054	0.855982456140351	-1	1 abnormal sweating	1 constipation
mild abnormal sweating	severe constipation	0.3791875	0.0456849094017268	0.758375	-1	1 abnormal sweating	2 constipation
mild abnormal sweating	mild localized bleeding	0.354199115044248	0.0444454643019742	0.708398230088496	-1	1 abnormal sweating	1 localized bleeding
mild abnormal sweating	severe localized bleeding	0.339912280701754	0.0436157452653396	0.679824561403509	-1	1 abnormal sweating	2 localized bleeding
mild abnormal sweating	mild localized pain	0.380340517241379	0.0447158547259998	0.760681034482759	-1	1 abnormal sweating	1 localized pain
mild abnormal sweating	severe localized pain	0.355481818181818	0.0452300315692545	0.710963636363636	-1	1 abnormal sweating	2 localized pain
mild abnormal sweating	mild generalized pain	0.35774358974359	0.0440260527745642	0.715487179487179	-1	1 abnormal sweating	1 generalized pain
mild abnormal sweating	severe generalized pain	0.344353211009174	0.046607281731376	0.688706422018349	-1	1 abnormal sweating	2 generalized pain
mild abnormal sweating	mild localized numbness	0.372057522123894	0.0452259676720855	0.744115044247788	-1	1 abnormal sweating	1 localized numbness
